time,segment_id,amplitude,y
0,Control,5.0,0.8391427050305744
1,Control,5.0,2.629483784777385
2,Control,5.0,4.945990040731395
3,Control,5.0,4.611484024037392
4,Control,5.0,2.2901767655340777
5,Control,5.0,0.008794438368457546
6,Control,5.0,-3.27333622844283
7,Control,5.0,-5.216691336293
8,Control,5.0,-5.023338646045844
9,Control,5.0,-2.4918267969700065
10,Control,5.0,0.1442503791973918
11,Control,5.0,2.111175635555782
12,Control,5.0,4.567105480857506
13,Control,5.0,4.891058617167589
14,Control,5.0,3.189284196234995
15,Control,5.0,-0.08492048293429535
16,Control,5.0,-3.777224028874311
17,Control,5.0,-4.655232880364455
18,Control,5.0,-4.822844584230029
19,Control,5.0,-3.248609568925619
20,Control,5.0,-0.6539184963254324
21,Control,5.0,2.900481468951208
22,Control,5.0,4.359792808556926
23,Control,5.0,4.481091966118288
24,Control,5.0,1.8942815548236829
25,Control,5.0,-0.7269491592136469
26,Control,5.0,-2.4124414834616816
27,Control,5.0,-4.3266152364916595
28,Control,5.0,-5.013287407390431
29,Control,5.0,-3.7783640535077456
30,Control,5.0,0.20242618527136902
31,Control,5.0,2.9070996572488577
32,Control,5.0,3.736355144309711
33,Control,5.0,4.477217757000389
34,Control,5.0,1.9416898128954143
35,Control,5.0,-0.4475713985758899
36,Control,5.0,-3.7507862689050127
37,Control,5.0,-4.16390703538681
38,Control,5.0,-3.6014822597638156
39,Control,5.0,-3.5712771142913153
40,Control,5.0,-0.2142422383505873
41,Control,5.0,2.8101624910936547
42,Control,5.0,5.2352959954301515
43,Control,5.0,5.352024465940898
44,Control,5.0,3.140321857547666
45,Control,5.0,-0.7896255236307721
46,Control,5.0,-2.408958839709834
47,Control,5.0,-5.465216080662449
48,Control,5.0,-4.874226844556529
49,Control,5.0,-3.0559157281629563
50,Control,5.0,-0.001880613815909775
51,Control,5.0,2.8616064562428827
52,Control,5.0,5.033795461878802
53,Control,5.0,4.7402815194598125
54,Control,5.0,2.3586409345043817
55,Control,5.0,-0.4053140322846262
56,Control,5.0,-3.241118382889821
57,Control,5.0,-4.860964036329696
58,Control,5.0,-5.388269212065646
59,Control,5.0,-3.743309327819139
60,Control,5.0,-0.5006193187099961
61,Control,5.0,2.865159753660251
62,Control,5.0,3.8026653398133528
63,Control,5.0,4.796158855389124
64,Control,5.0,2.699966638782406
65,Control,5.0,0.060537590807906744
66,Control,5.0,-2.5739753911669228
67,Control,5.0,-6.152928038531623
68,Control,5.0,-4.348271734725424
69,Control,5.0,-2.649943587107756
70,Control,5.0,-0.32037800426320745
71,Control,5.0,2.444362850219188
72,Control,5.0,5.145160305115347
73,Control,5.0,4.800848643808418
74,Control,5.0,3.116754242395141
75,Control,5.0,0.29091395291869976
76,Control,5.0,-3.297993526274106
77,Control,5.0,-4.625513195521771
78,Control,5.0,-4.066365084517551
79,Control,5.0,-3.5238539903182957
80,Control,5.0,-0.5825716599273117
81,Control,5.0,3.4831577356936547
82,Control,5.0,5.1876683308157
83,Control,5.0,5.359960543539536
84,Control,5.0,4.02706129600633
85,Control,5.0,-0.3431293262631221
86,Control,5.0,-2.4104722330739126
87,Control,5.0,-4.789909366046912
88,Control,5.0,-4.448433822470857
89,Control,5.0,-2.996090841513014
90,Control,5.0,-0.45295683898164746
91,Control,5.0,3.2896497407931293
92,Control,5.0,4.6425870931519375
93,Control,5.0,4.517979755127728
94,Control,5.0,2.3543889197750025
95,Control,5.0,-0.3365745905725061
96,Control,5.0,-3.0415597479265926
97,Control,5.0,-4.507647931711512
98,Control,5.0,-4.552242283062636
99,Control,5.0,-3.2115085113163095
100,Control,5.0,1.2901916484743665
101,Control,5.0,2.7744404618142537
102,Control,5.0,5.463415220695427
103,Control,5.0,5.389672531315558
104,Control,5.0,2.7082978285153345
105,Control,5.0,0.39886304296183184
106,Control,5.0,-2.6918982563879794
107,Control,5.0,-4.945110632098448
108,Control,5.0,-4.454148047894506
109,Control,5.0,-4.077060046459771
